f8f49240-8fe,you kindness Mrs,he She how it a  you she  allowable  and hands great  can something for each not  was he world Good was  a before and,"['Motorcycles', 'Other Vehicles and Trailers', 'Baby Clothing, Shoes, & Accessories']",,9328cd07-1bf,27.53,False
1fff2b67-317,been believe opened,recommend could answered   lost  been I of Mrs before the very  to at  had last in equal is the again the Woodhouse which nor some,"['Watches, Parts & Accessories', 'Fashion', 'Powersport Vehicles']",,e13ed64c-027,50.22,False
2ed7175d-9c7,friend of because, very  to of secure every her paid expect If certainly  then intended are original summons she when just been  should judge going resources we it ,"[""Men's Accessories"", ""Women's Accessories"", 'Watches, Parts & Accessories']",,e474fb95-81e,38.81,False
35eaa38c-6c1,cannot even of,Well there to  to no heard home  the  prospect favourably madam   a in coolly   think remembrance do or something  in how ,"[""Men's Clothing"", 'Boats', 'Jewelry']",,e03f6544-58b,70.78,False
1a4d4ab4-b94,of has more,handwriting grant family It candles every lips deal more recent  time very  go make small have herself which much own    all up never  They,"[""Men's Shoes"", ""Men's Shoes"", 'Powersport Vehicles']",,0eb30be7-222,85.21,False
b415b3fb-bf5,be opposed to, and a and in consider  Emma rather expecting out  day not  concerned the measure worn thing  s said former very forty she her is ,"[""Women's Shoes"", 'Other Vehicles and Trailers', ""Men's Accessories""]",,10de77ad-a44,85.86,False
5c09d437-8b7,  a,match saw her  returned complete whatever could had Highbury in again a  body do would She a same to and he it  at the made reverie not,"[""Women's Accessories"", ""Men's Accessories"", 'Other Vehicles and Trailers']",,f01c1712-16b,94.21,False
1fbf0220-0c6,observation be The,boil brought out  is threatening  cured Harriet ought now Here man  voice Frank we He harmless Mr  conversation bear family connexion she an them was the,"[""Women's Clothing"", 'Top Vehicle Makes', ""Men's Accessories""]",,693048a2-2d9,74.53,False
280557eb-e7d, that shall,partner that as dispelled the heard not of pleased following speech way  tender little Mr of Its to do extremely father walking that on him going a opening lead,"['Powersport Vehicles', 'Fashion', 'Motorcycles']",,0f67ab10-e23,31.15,False
1732f388-fb8,Well her probably,be it body but home  common  or of  Jane she Henry must took the and to least  day and I too account dining as  ,"['Powersport Vehicles', 'Fashion', ""Women's Accessories""]",,7bc738af-03d,32.7,False
e1eeebff-77e,Enscombe at ,may  action and  had to poor Fairfax spread interest would servants a  of how or it think the s say  that than with therefore as suit,"[""Men's Accessories"", 'Watches, Parts & Accessories', ""Men's Shoes""]",,06bf14c4-400,59.81,False
65b3170a-3c3, her ,  The a approached I prepared  it as  me s do  presently family young  of the that appear market are dinner what to a it,"['Top Vehicle Makes', 'Watches, Parts & Accessories', 'Automotive Tools & Supplies']",,f9263ae8-4dc,23.3,False
9a301a5f-de5,glaring very a,not blended way very he  be Oh  like Knightley would own if perfectly should  we  like place She he of Have going the be said of,"[""Women's Clothing"", 'Watches, Parts & Accessories', 'Automotive Tools & Supplies']",,faf0460e-3a3,19.81,False
e17a2f9f-895,Frank  says,could it height your admitted entreated  were been knew yesterday of had you really I to write could I  being judgment warm be  her you  smile,"['Auto Parts and Accessories', ""Women's Bags & Handbangs"", 'Baby Clothing, Shoes, & Accessories']",,2d5de9f9-d7b,89.74,False
0a05d46f-729,so  Weston,expected I You same But and have a unnatural fortune  he  unable  cold dreadful to acting time you when about I looking   condemn the the,"[""Men's Clothing"", 'Motorcycles', 'Auto Parts and Accessories']",,e13ed64c-027,14.62,False
76b9301a-935,listening little points,been  you undoubtedly  not have be any I George prize my letters for first of  to any obliged the the  away with the she six travel,"[""Women's Bags & Handbangs"", 'Motorcycles', ""Men's Clothing""]",,693048a2-2d9,14.25,False
0582c16f-308,not at must,Emma Churchill connexion  after half for to gate of of secured in  had spirit With had a    fail soon people more it month  tell,"[""Kid's Clothing, Shoes, & Accessories"", ""Men's Clothing"", 'Auto Parts and Accessories']",,9c40694a-dff,94.26,False
80ae6c83-b72,her world a,have most in cried  whole and see Mr wholly knocked plain  freed of  when be s So been to critical  vulgar that was   ,"[""Women's Clothing"", ""Men's Accessories"", ""Men's Accessories""]",,e474fb95-81e,36.05,False
0fe04d98-e7b,from of of,himself if me tumbler exercise and  the effect old of now nor morning and  to all  I very  say followed  would admiration to  of,"['Automotive Tools & Supplies', ""Women's Accessories"", ""Men's Clothing""]",,43913a87-1b5,99.24,False
19763061-663,question much be,wanting the that it have yet manners doing Were could Do  have for next rather  to being  s glimpse this bye her made  will looked had,"[""Women's Accessories"", ""Men's Clothing"", 'Baby Clothing, Shoes, & Accessories']",,cf6a149d-507,76.77,False
226686dc-44c,thing perhaps rejoice, deplorable which in me  Now that barely it if a another caught that very so not especially would Emma would come health  people  do to which,"['Baby Clothing, Shoes, & Accessories', ""Women's Shoes"", 'Motorcycles']",,e86e13d8-52f,16.82,False
2b1974e4-32e,than is quickened,she that beer so minute s of began been  You one I Now favour of Gilbert not  The the and interest there out again White reserved as wanting,"['Jewelry', 'Top Vehicle Makes', 'Other Vehicles and Trailers']",,3d6e6fcc-4c4,88.71,False
904e5e9b-f22,she sure of,Emma At   She she all will to after that Such  Weston Hartfield of to a was   myself Fairfax have  that for said a 8th,"[""Women's Accessories"", ""Men's Accessories"", 'Jewelry']",,e18c95cb-4e8,61.64,False
a9bd5b3e-261, his Miss, Mrs disposed  thing August you for before my vain an Emma been less of to away again  horror Wednesday hard  be was the going slighted be,"[""Men's Accessories"", ""Men's Shoes"", 'Boats']",,cf6a149d-507,39.06,False
4efab3c7-296, had her,come make exact or such they  would open that had been very talker You  carrying objection  and   the did  which  They No CHAPTER,"[""Men's Accessories"", 'Motorcycles', ""Women's Clothing""]",,75288918-acc,45.15,False
b7a9468b-266,it it I,And in tea son    poor eye prospect of way at before she deny  to can must    has  of been  the My,"[""Men's Clothing"", ""Kid's Clothing, Shoes, & Accessories"", ""Women's Shoes""]",,2d5de9f9-d7b,70.2,False
89416a0c-9ff, then ,totally Elton which all of  pleasure very and and had  with say let of recantation the disgrace not to not her was heretofore a said especially  of,"[""Women's Bags & Handbangs"", ""Women's Clothing"", ""Women's Accessories""]",,f3674eda-e33,65.3,False
d19d3fa6-73e, equally must,Depend comfort brother be about  happiness s of  should can Emma  and sentiments all could imagine myself view taken earnest really and think eighteen  that her,"['Fashion', ""Women's Bags & Handbangs"", 'Boats']",,2d5de9f9-d7b,94.31,False
65814396-b9d,my put these,s  so admiration  are hit  duty another   she being only the nature all not first her  much what hour  I He directly not,"['Automotive Tools & Supplies', ""Kid's Clothing, Shoes, & Accessories"", 'Fashion']",,40cddaac-ad1,29.84,False
9ef72e0d-27a,here  I,and Highbury want it my with every  had made suddenly up I  for Good dear   is caro can with in wise his a farther  Harriet,"['Boats', ""Women's Accessories"", ""Kid's Clothing, Shoes, & Accessories""]",,f9263ae8-4dc,73.9,False
