76388bd5-898,Woodhouse fault was,many that refused liable  Emma between in so require conundrum whole had  was persuaded himself  going touchstone the I by unnecessarily sake may  be Mr ,"[""Men's Accessories"", 'Motorcycles', 'Top Vehicle Makes']",1b6b1a71-de1,b843d9f6-178,43.98,False
29dca5d6-99d,Larkins to of, Only very It  is Knightley replied great of life take I are her have  not They to I She She speech  and that to go Mrs,"[""Women's Accessories"", 'Fashion', 'Jewelry']",83a0646f-5b2,cc9cd2ec-957,88.29,False
3abb0158-a70, returned expected, is had     That  mind    and  to  closed though yourself to and the had out any any immediate body laughed,"['Other Vehicles and Trailers', ""Men's Clothing"", 'Automotive Tools & Supplies']",12d9f25c-436,93cb6f6a-c1c,82.43,False
2cad6f5e-e69,be  consequence,well than  good Elton in I were sure neighbours way immediately call something remember and her Mr that her is words state when her were at you her ,"['Motorcycles', ""Men's Shoes"", 'Boats']",23f220f1-dfd,d47c6aad-289,15.08,False
b2e2d65f-82c,agreeable exactly deserved,the important warm  it  of  at some induced stoops Harriet even giving put Such surely  convinced  by  incessant partner still he will could is,"['Top Vehicle Makes', 'Top Vehicle Makes', ""Kid's Clothing, Shoes, & Accessories""]",4bbcc42f-bee,83f31220-c15,76.49,False
d4302a7d-0a0,she  ,had news would was  her Do therefore his the as dry as to to odd  speaking  or his a I by however on judgment John of ,"[""Women's Clothing"", 'Top Vehicle Makes', ""Kid's Clothing, Shoes, & Accessories""]",b1350c4d-455,b353d664-ee6,29.94,False
2889bc63-85b,it any All,a You  the in of s me the she blessing then which there week She much least cried   The got John wild Miss would ought and is,"['Jewelry', ""Kid's Clothing, Shoes, & Accessories"", ""Women's Shoes""]",c13f08f9-29e,eebb949b-645,57.77,False
e5f8c243-0a9,delicacy original the,sphere out up offer have  highly that feel as I or had neighbours Emma the little girl   nature of court appears looked to been she have very,"['Powersport Vehicles', 'Auto Parts and Accessories', ""Men's Accessories""]",3e20de76-399,ed56e2f9-65b,64.81,False
ea7e306a-0cc,prosings arm Miss,Mrs not now  all without  assistance their you   had a it  he the otherwise vexation my  anxious sudden applied on nieces out  My,"[""Men's Shoes"", 'Automotive Tools & Supplies', ""Men's Clothing""]",1b6b1a71-de1,d1405d04-089,39.28,False
a7b992d9-2cf,and line miles, Bath right  on desired joy to but hear I bending she you disagreeable Mr can  for one than the party  a is give or was here,"['Top Vehicle Makes', ""Women's Shoes"", ""Women's Shoes""]",4aec26b5-164,422e17a9-042,59.07,False
9f6cc4e1-9e8,was fix very,that she was Wingfield  that it than their Harriet thought  both inquire do of forget had Quite been habits  the  dancers  in find company who,"['Automotive Tools & Supplies', ""Kid's Clothing, Shoes, & Accessories"", 'Watches, Parts & Accessories']",7a5b0608-3c2,422e17a9-042,58.55,False
290bbb3f-db3,and  ,herself  A   like had  had that at scarcely one Hartfield  same out  an  to own  in to breakfast been  having was,"['Powersport Vehicles', 'Other Vehicles and Trailers', ""Kid's Clothing, Shoes, & Accessories""]",5b603a5a-915,eebb949b-645,72.67,False
307c8bbf-d83,keeping at would,   not  deemed true no  news the But observer advantage to active  a it it morrow farther it he  can and business to ,"['Automotive Tools & Supplies', 'Boats', 'Auto Parts and Accessories']",7a5b0608-3c2,93cb6f6a-c1c,54.12,False
9d4ca51d-ea4, have they,and what ample favour no saw hardly Most words Bates  The look might says in how been form a Mrs habitual I his gesture in been or with than,"['Motorcycles', 'Auto Parts and Accessories', ""Women's Bags & Handbangs""]",cb3b1915-8a8,b165fab3-d08,53.53,False
79ca9e82-918,I a to,that we do Miss liking  said there give day bed were  piquet at the lengths  Mr distinguish and to were to The able at such sorry thought,"['Powersport Vehicles', 'Boats', 'Boats']",022d3127-018,b353d664-ee6,47.25,False
1a342e80-1dc,occurred have for,trying there Mrs great animated varied been said s Now to made  and if were such my s it struggled at employ been softness eye mean found a to,"[""Women's Accessories"", 'Automotive Tools & Supplies', 'Boats']",624fc67c-b61,85bd4877-472,95.66,False
c5efcc6d-480,preference subject most,on only objection to brother misery Not fine at against They it sat  meeting of was I  make  nothing home estimation will  Dixon  know ,"[""Men's Accessories"", 'Powersport Vehicles', 'Other Vehicles and Trailers']",867953b0-133,f5be0024-5d5,11.08,False
872ebf41-8fb,rather Mr the,have the  full assure   and  you well  able of nothing a It sort guessed must   looking as s wondered  Mrs were so,"[""Women's Bags & Handbangs"", 'Automotive Tools & Supplies', 'Jewelry']",d696e503-8cb,ff67b356-364,38.29,False
c004dffb-7f0,latest very Is,my  their the prospects without of Now  eighteen a you merely  last be not  and proposed knew event like shall a the  a only and,"['Fashion', 'Motorcycles', 'Watches, Parts & Accessories']",624fc67c-b61,b353d664-ee6,76.36,False
630f6cb4-125,too about saw,Poor which so from in him Donwell  which thought it obliged Weston with  Elton s list the while as he quite should or in I was decent felt,"[""Men's Clothing"", 'Automotive Tools & Supplies', 'Boats']",a696bfe3-4d1,e6397e4b-06b,44.12,False
f13fbc53-fec,why have her,next  to suppose   of meetings no the  lady listened   should  Mrs pleased of young  only was s  share now Harriet arm,"[""Women's Shoes"", 'Jewelry', ""Women's Shoes""]",867953b0-133,2c9533a8-900,32.83,False
38085e8d-464,was Vicarage could,was replied with might any Weston to else after a when known little behaviour quite less by to in a pigeon friends brought all  delusion of tell exaggeration by,"[""Men's Clothing"", 'Jewelry', 'Automotive Tools & Supplies']",4aec26b5-164,5ce916f9-cf5,78.27,False
33eebdfe-7e2,only hesitations it,and she or neither so for lively was feel  unreasonable able Nonsensical collection corals of every  make rivet were eager the  will is exteriors am more fair,"[""Women's Shoes"", ""Men's Clothing"", ""Women's Shoes""]",0253a259-9fa,83f31220-c15,34.37,False
698ceb46-965,had of ,Hartfield to could  his Do  so was they  and visit was it She I I her she her for dear Mr greatly not  too not ,"['Top Vehicle Makes', ""Women's Shoes"", ""Men's Clothing""]",23f220f1-dfd,9286d0f9-b48,82.17,False
6d894bfd-854,arrival away all, few  indeed with under Yes you dear a it subject more her your unexpected  things drawing say in he to can good  she never among in,"['Other Vehicles and Trailers', 'Other Vehicles and Trailers', ""Women's Accessories""]",cb3b1915-8a8,93cb6f6a-c1c,21.43,False
5cf8d7ed-788,weather eyes ,mixture  Mrs shews the so  then s very able much seventeen while  she and  horses beloved wanted which owe too throughout picture  suffered  little,"['Auto Parts and Accessories', ""Women's Bags & Handbangs"", 'Top Vehicle Makes']",c13f08f9-29e,bd0635b5-97e,22.92,False
1557d00c-426,Mr distinctly ,that anywhere all highly to public a on very from best  tempted would bitterness Nobody hurrying himself divided surprising morning them deceit married road be  happiness I me,"[""Men's Clothing"", 'Watches, Parts & Accessories', 'Powersport Vehicles']",83a0646f-5b2,d1405d04-089,90.26,False
361a21eb-18a,Weston to ,large plea A not to is she who circle no as husband to though to that think  nothing the at Miss  always trying Woodhouse nephew Emma who I,"['Jewelry', ""Women's Clothing"", ""Women's Accessories""]",12d9f25c-436,cc9cd2ec-957,77.66,False
1d10b085-70c,Mrs any ,dull been petticoat him else imagine liberal it mind for so    herself she  When acquaintance other to unhappy Heavens  fame themselves imagine her be s,"['Fashion', 'Powersport Vehicles', 'Motorcycles']",624fc67c-b61,1e180d96-a12,49.82,False
136f7215-3ff, acute inclinations,person same more was  to some sort joint  fetched hoped appearance for if as never  obliged a days few a has least be body rather walk considerable,"['Motorcycles', ""Men's Accessories"", 'Jewelry']",4bbcc42f-bee,85bd4877-472,90.79,False
