3e7edb5c-5d8,1636954894,1638587452,29dca5d6-99d,True,cc9cd2ec-957
b4b1893e-c02,1638322601,1638868589,9f6cc4e1-9e8,False,422e17a9-042
88809bd3-813,1638708125,1639112645,38085e8d-464,False,5ce916f9-cf5
e2918e48-0d2,1638408987,1639025639,136f7215-3ff,False,85bd4877-472
a8638776-e02,1640314856,1641454521,3abb0158-a70,True,93cb6f6a-c1c
8327774e-144,1636282681,1637078004,1a342e80-1dc,True,85bd4877-472
3d89ba69-d2a,1635012638,1636669202,79ca9e82-918,False,b353d664-ee6
54160179-94c,1638781072,1640143314,1557d00c-426,False,d1405d04-089
ba66934e-d00,1640216481,1641203479,d4302a7d-0a0,False,b353d664-ee6
84f30ef0-8eb,1638194917,1638865751,2889bc63-85b,True,eebb949b-645
09e46c6e-4ed,1636855429,1637538017,e5f8c243-0a9,True,ed56e2f9-65b
86f77297-fd2,1639716919,1640998170,630f6cb4-125,False,e6397e4b-06b
1f83d703-ce6,1640708868,1642415665,c004dffb-7f0,False,b353d664-ee6
205ec5be-ca3,1637184007,1637791391,6d894bfd-854,True,93cb6f6a-c1c
31ed8f4b-f93,1637607679,1637930431,2cad6f5e-e69,True,d47c6aad-289
2881f5a6-fa9,1636355945,1636580769,1d10b085-70c,False,1e180d96-a12
15b71094-747,1639248141,1640189192,5cf8d7ed-788,False,bd0635b5-97e
7284e2ed-96f,1640136522,1641503446,307c8bbf-d83,False,93cb6f6a-c1c
e72b4205-6f2,1638175410,1638764274,361a21eb-18a,True,cc9cd2ec-957
d043f2d7-459,1637498480,1639282003,33eebdfe-7e2,False,83f31220-c15
7dd34c76-9b1,1638210919,1639674652,76388bd5-898,True,b843d9f6-178
fa1c0e19-354,1635163104,1636314750,698ceb46-965,False,9286d0f9-b48
830edbfb-c3a,1639743642,1640059414,ea7e306a-0cc,True,d1405d04-089
4bc00a31-4de,1635181245,1636194318,f13fbc53-fec,True,2c9533a8-900
d7445d88-505,1638901947,1640070466,b2e2d65f-82c,True,83f31220-c15
4c87ad49-2b4,1635612357,1636422677,c5efcc6d-480,False,f5be0024-5d5
c7c5187b-856,1636388806,1636753112,872ebf41-8fb,False,ff67b356-364
90154f88-faa,1639634490,1639722971,9d4ca51d-ea4,False,b165fab3-d08
aa4505f7-8cf,1638219747,1639450854,290bbb3f-db3,False,eebb949b-645
a34be531-5a9,1636946094,1637219895,a7b992d9-2cf,False,422e17a9-042
