619538ad26e831839aaa22c1,29,161
619538ad26e831839aaa22c1,22,495
619538ad26e831839aaa22c1,9,979
619538ad26e831839aaa22c2,25,463
619538ad26e831839aaa22c2,3,163
619538ad26e831839aaa22c2,21,360
619538ae26e831839aaa22c3,23,651
619538ae26e831839aaa22c3,5,850
619538ae26e831839aaa22c3,24,793
619538ae26e831839aaa22c4,18,286
619538ae26e831839aaa22c4,13,927
619538ae26e831839aaa22c4,7,345
619538af26e831839aaa22c5,11,810
619538af26e831839aaa22c5,7,263
619538af26e831839aaa22c5,26,782
619538af26e831839aaa22c6,5,929
619538af26e831839aaa22c6,20,273
619538af26e831839aaa22c6,28,275
619538b026e831839aaa22c7,26,947
619538b026e831839aaa22c7,9,806
619538b026e831839aaa22c7,13,271
619538b026e831839aaa22c8,4,29
619538b026e831839aaa22c8,22,882
619538b026e831839aaa22c8,25,8
619538b126e831839aaa22c9,17,617
619538b126e831839aaa22c9,3,934
619538b126e831839aaa22c9,8,647
619538b126e831839aaa22ca,28,604
619538b126e831839aaa22ca,2,450
619538b126e831839aaa22ca,6,388
619538b226e831839aaa22cb,10,177
619538b226e831839aaa22cb,4,833
619538b226e831839aaa22cb,17,952
619538b226e831839aaa22cc,13,81
619538b226e831839aaa22cc,12,932
619538b226e831839aaa22cc,28,788
619538b226e831839aaa22cd,27,146
619538b226e831839aaa22cd,5,266
619538b226e831839aaa22cd,7,623
619538b326e831839aaa22ce,20,17
619538b326e831839aaa22ce,8,127
619538b326e831839aaa22ce,9,945
619538b326e831839aaa22cf,5,339
619538b326e831839aaa22cf,27,407
619538b326e831839aaa22cf,21,787
619538b426e831839aaa22d0,2,379
619538b426e831839aaa22d0,13,205
619538b426e831839aaa22d0,27,675
619538b426e831839aaa22d1,7,739
619538b426e831839aaa22d1,24,225
619538b426e831839aaa22d1,2,849
619538b526e831839aaa22d2,22,198
619538b526e831839aaa22d2,6,661
619538b526e831839aaa22d2,1,500
619538b526e831839aaa22d3,26,350
619538b526e831839aaa22d3,2,102
619538b526e831839aaa22d3,4,267
619538b626e831839aaa22d4,6,414
619538b626e831839aaa22d4,12,712
619538b626e831839aaa22d4,8,867
619538b626e831839aaa22d5,14,558
619538b626e831839aaa22d5,4,265
619538b626e831839aaa22d5,8,174
619538b726e831839aaa22d6,23,303
619538b726e831839aaa22d6,28,355
619538b726e831839aaa22d6,16,144
619538b726e831839aaa22d7,29,691
619538b726e831839aaa22d7,17,909
619538b726e831839aaa22d7,27,432
619538b826e831839aaa22d8,22,976
619538b826e831839aaa22d8,6,491
619538b826e831839aaa22d8,15,747
619538b826e831839aaa22d9,24,86
619538b826e831839aaa22d9,19,454
619538b826e831839aaa22d9,18,149
619538b926e831839aaa22da,1,821
619538b926e831839aaa22da,9,289
619538b926e831839aaa22da,16,585
619538b926e831839aaa22db,10,524
619538b926e831839aaa22db,9,78
619538b926e831839aaa22db,18,211
619538ba26e831839aaa22dc,5,200
619538ba26e831839aaa22dc,3,562
619538ba26e831839aaa22dc,16,540
619538ba26e831839aaa22dd,14,815
619538ba26e831839aaa22dd,16,321
619538ba26e831839aaa22dd,21,592
619538ba26e831839aaa22de,27,338
619538ba26e831839aaa22de,8,627
619538ba26e831839aaa22de,15,595
