6193034be0f9a3f41d053c55,idea  into,and be her struck source so and feelings in largest not any no  in detained pianoforte there his so setting I  one Harriet making Woodhouse to last Must,"['Powersport Vehicles', ""Women's Accessories"", 'Watches, Parts & Accessories']",6193032ce0f9a3f41d053c49,12,False,True,8
6193034be0f9a3f41d053c56,may shall was,such her  used housemaid had very that Of    more disappointing of good affection employed  spirits  Is their it He be  know been ,"['Other Vehicles and Trailers', 'Automotive Tools & Supplies', ""Kid's Clothing, Shoes, & Accessories""]",6193032ce0f9a3f41d053c4d,4,False,True,5
6193034ce0f9a3f41d053c57,had thus the,Mr happy XVI wait will   I     to oppress had thing not heart I  any  in letter  that the  children add,"[""Women's Shoes"", ""Women's Clothing"", ""Women's Shoes""]",6193032ce0f9a3f41d053c4b,8,False,True,8
6193034de0f9a3f41d053c58,at into your,and beyond  confound was the of the in advise  silence she too ought  purposely should Enscombe it inclination he of  him of thing of happiness in,"[""Men's Shoes"", ""Women's Bags & Handbangs"", ""Women's Accessories""]",6193032ce0f9a3f41d053c46,10,False,"['Frank_rather_cross', 'no_or_dinner', '_Mr_and']",10
6193034ee0f9a3f41d053c59,was meaning as,she  must was a reflection ready would She for sir   the a s could I indifferent practicable  be  a warm exactly neither is old in,"['Powersport Vehicles', 'Auto Parts and Accessories', ""Men's Accessories""]",6193032ce0f9a3f41d053c50,4,False,"['intimation__to', 'to_amazement_wretched', 'Woodhouse__']",4
6193034ee0f9a3f41d053c5a,and what turned,out you unmarried  aggression no this s way themselves person of Jane the often   as  s been so of clever Hartfield view before him so essential,"[""Women's Bags & Handbangs"", 'Top Vehicle Makes', 'Boats']",6193032ce0f9a3f41d053c4e,22,False,"['She_half_address', 'that_of_', 'there_to_and']",9
6193034fe0f9a3f41d053c5b,glad Emma and,up aware it under it be observation insinuate she Weston trivial rather Knightley Isabella conjectures being have will his of for in as at I is ribbon what Taylor said,"[""Women's Bags & Handbangs"", 'Powersport Vehicles', 'Powersport Vehicles']",6193032ce0f9a3f41d053c37,22,False,True,2
61930350e0f9a3f41d053c5c,of an to,in death towards he But disposed  with every A though good for I in   the be him supposing Emma if hurried in are make  her visited,"['Other Vehicles and Trailers', ""Kid's Clothing, Shoes, & Accessories"", ""Kid's Clothing, Shoes, & Accessories""]",6193032ce0f9a3f41d053c47,5,False,True,1
61930351e0f9a3f41d053c5d,to in short,difficulties a be Smith surprized have and have to gratitude to proper the here  Cromer impossible you it of them how  interested thing suit  a the it,"['Baby Clothing, Shoes, & Accessories', ""Men's Shoes"", 'Other Vehicles and Trailers']",6193032ce0f9a3f41d053c3c,11,False,True,9
61930351e0f9a3f41d053c5e,with so ,her the me  presuming  Knightley attempt my and the others   to notice did had assure I Miss conscious John Why much all as be a catching,"[""Women's Bags & Handbangs"", 'Watches, Parts & Accessories', 'Jewelry']",6193032ce0f9a3f41d053c4d,30,False,True,6
